coordinator	C	N
Zemilton	C	N
Silva	N	N
witnessed	C	C
this	N	N
happen	N	N
to	N	N
three	N	C
men	N	N
,	N	N
and	N	N
forensic	C	N
report	N	N
that	N	N
there	N	C
have	N	N
been	N	N
more	N	N
.	N	N
----------
After	N	N
repeatedly	C	N
trying	N	N
to	N	N
get	N	N
someone	N	N
to	N	N
come	N	N
to	N	N
the	N	C
door	N	N
,	N	N
officers	C	N
forced	N	N
their	N	C
way	N	N
into	N	C
the	N	N
house	N	N
.	N	N
----------
Here	N	N
,	N	N
police	N	N
say	N	N
,	N	N
they	N	N
were	N	N
met	N	N
by	N	N
gunfire	C	N
and	N	N
a	N	N
standoff	C	N
ensued	C	N
.	N	N
----------
Prison	C	N
authorities	C	N
said	N	N
that	N	N
some	N	N
victims	C	C
were	N	N
decapitated	C	N
.	N	N
----------
Reportedly	C	N
Conley	N	N
had	N	N
a	N	N
lengthy	C	C
history	N	C
of	N	N
violent	C	C
behavior	C	N
that	N	N
landed	C	N
him	N	N
in	N	N
prison	C	N
multiple	C	N
times	N	N
.	N	N
----------
At	N	N
least	N	N
26	N	N
killed	N	C
in	N	C
another	N	N
Brazil	N	N
prison	N	N
riot	C	N
In	N	N
the	N	N
latest	N	N
of	N	N
a	N	N
series	C	N
of	N	N
prison	C	N
riots	C	C
in	N	N
prisons	C	N
across	N	N
Brazil	N	N
,	N	N
dozens	C	N
of	N	N
inmates	C	N
,	N	N
mostly	N	N
rival	C	N
gangs	C	N
,	N	N
were	N	N
reported	N	N
dead	N	N
at	N	N
the	N	N
State	N	C
Penitentiary	C	N
of	N	N
Alcaçuz	C	N
,	N	N
a	N	N
state	N	N
prison	N	N
located	N	C
in	N	C
Natal	N	N
,	N	N
the	N	N
capital	C	N
of	N	N
the	N	N
Brazilian	C	N
state	N	N
,	N	N
Rio	N	N
Grande	N	N
do	N	N
Norte	C	N
.	N	N
----------
After	N	N
upwards	C	N
of	N	N
an	N	C
hour	N	N
,	N	N
with	N	N
the	N	N
house	N	N
surrounded	C	N
by	N	N
special	N	N
police	N	N
units	C	N
,	N	N
the	N	N
suspect	C	N
was	N	N
talked	N	N
out	N	N
of	N	N
the	N	N
house	N	N
.	N	N
----------
Manning	N	N
,	N	N
who	N	N
in	N	N
2010	N	C
released	C	N
thousands	C	N
of	N	N
classified	C	N
documents	N	N
to	N	N
the	N	N
public	N	N
through	N	N
WikiLeaks	C	N
detailing	C	C
abuses	C	N
of	N	N
the	N	N
Iraq	N	N
and	N	N
Afghanistan	C	N
wars	N	C
,	N	N
has	N	N
already	N	N
served	N	N
almost	N	N
seven	N	N
years	N	N
in	N	N
prison	C	N
and	N	N
is	N	N
now	N	C
scheduled	C	N
for	N	C
release	C	N
on	N	N
May	N	N
17	N	N
of	N	N
this	N	N
year	N	N
.	N	N
----------
The	N	N
government	N	N
says	N	N
the	N	N
dead	N	N
include	N	N
five	N	N
suicide	C	N
bombers	C	N
.	N	N
----------
Eight	N	N
people	N	N
found	N	N
slain	C	N
inside	N	N
Houston-area	N	N
home	N	C
Saturday	N	N
night	N	N
,	N	N
police	N	N
in	N	N
Houston	N	N
,	N	N
Texas	N	N
,	N	N
United	N	N
States	N	N
,	N	N
discovered	C	N
eight	N	N
people	N	N
killed	N	C
in	N	C
a	N	N
home	N	C
.	N	N
----------
According	C	N
to	N	N
the	N	N
BBC	N	N
,	N	N
this	N	N
figure	N	N
is	N	N
triple	C	N
the	N	N
initial	C	N
reports	N	N
.	N	N
----------
His	N	N
government	C	N
stands	C	C
accused	C	N
by	N	N
Human	N	N
Rights	N	C
Watch	N	N
of	N	N
not	N	N
taking	N	N
adequate	C	N
measures	N	N
to	N	N
protect	N	N
the	N	N
nation	N	N
's	N	N
citizens	C	N
.	N	N
----------
Around	N	N
21:00	N	C
local	N	N
time	N	N
,	N	N
Harris	N	N
County	N	N
Sheriff	N	N
's	N	N
Office	N	C
(	N	N
HSCO	N	C
)	N	N
deputies	C	N
arrived	N	N
at	N	N
the	N	N
home	N	C
on	N	N
a	N	N
welfare	C	N
check	C	N
.	N	N
----------
Obama	N	C
commutes	C	N
whistleblower	C	C
's	N	N
sentence	N	C
:	N	N
Chelsea	N	N
Manning	C	N
to	N	C
walk	N	N
free	N	N
in	N	N
120	N	C
days	N	N
Yesterday	N	N
,	N	N
mere	C	N
days	N	N
before	N	N
he	N	N
is	N	N
to	N	N
leave	N	N
office	N	N
,	N	N
U.S.	N	N
President	N	N
Barack	N	N
Obama	N	N
commuted	C	N
the	N	N
